Date,Time,Weekday,To Home,To Work
2016-10-19,23:00,Wednesday,27 mins,28 mins
2016-10-19,23:05,Wednesday,26 mins,28 mins
2016-10-19,23:10,Wednesday,26 mins,28 mins
2016-10-19,23:15,Wednesday,25 mins,28 mins
2016-10-19,23:20,Wednesday,26 mins,28 mins
2016-10-19,23:25,Wednesday,26 mins,28 mins
2016-10-19,23:30,Wednesday,25 mins,29 mins
2016-10-19,23:35,Wednesday,25 mins,28 mins
2016-10-19,23:40,Wednesday,25 mins,27 mins
2016-10-19,23:45,Wednesday,25 mins,26 mins
2016-10-19,23:50,Wednesday,26 mins,26 mins
2016-10-19,23:55,Wednesday,26 mins,26 mins
2016-10-20,05:00,Thursday,25 mins,25 mins
2016-10-20,05:05,Thursday,25 mins,25 mins
2016-10-20,05:10,Thursday,25 mins,25 mins
2016-10-20,05:15,Thursday,25 mins,25 mins
2016-10-20,05:20,Thursday,25 mins,25 mins
2016-10-20,05:25,Thursday,25 mins,25 mins
2016-10-20,05:30,Thursday,25 mins,25 mins
2016-10-20,05:35,Thursday,26 mins,25 mins
2016-10-20,05:40,Thursday,26 mins,25 mins
2016-10-20,05:45,Thursday,26 mins,25 mins
2016-10-20,05:50,Thursday,27 mins,26 mins
2016-10-20,05:55,Thursday,26 mins,26 mins
2016-10-20,06:00,Thursday,28 mins,26 mins
2016-10-20,06:05,Thursday,29 mins,28 mins
2016-10-20,06:10,Thursday,30 mins,29 mins
2016-10-20,06:15,Thursday,36 mins,30 mins
2016-10-20,06:20,Thursday,41 mins,35 mins
2016-10-20,06:25,Thursday,42 mins,36 mins
2016-10-20,06:30,Thursday,46 mins,43 mins
2016-10-20,06:35,Thursday,50 mins,47 mins
2016-10-20,06:40,Thursday,52 mins,49 mins
2016-10-20,06:45,Thursday,51 mins,55 mins
2016-10-20,06:50,Thursday,55 mins,54 mins
2016-10-20,06:55,Thursday,56 mins,57 mins
2016-10-20,07:00,Thursday,53 mins,1 hour 0 mins
2016-10-20,07:05,Thursday,53 mins,58 mins
2016-10-20,07:10,Thursday,1 hour 0 mins,57 mins
2016-10-20,07:15,Thursday,56 mins,57 mins
2016-10-20,07:20,Thursday,58 mins,57 mins
2016-10-20,07:25,Thursday,58 mins,55 mins
2016-10-20,07:30,Thursday,1 hour 0 mins,56 mins
2016-10-20,07:35,Thursday,1 hour 0 mins,57 mins
2016-10-20,07:40,Thursday,59 mins,55 mins
2016-10-20,07:45,Thursday,59 mins,55 mins
2016-10-20,07:50,Thursday,1 hour 5 mins,54 mins
2016-10-20,07:55,Thursday,59 mins,54 mins
2016-10-20,17:00,Thursday,1 hour 6 mins,47 mins
2016-10-20,17:05,Thursday,1 hour 8 mins,46 mins
2016-10-20,17:10,Thursday,1 hour 8 mins,45 mins
2016-10-20,17:15,Thursday,1 hour 7 mins,43 mins
2016-10-20,17:20,Thursday,1 hour 7 mins,44 mins
2016-10-20,17:25,Thursday,1 hour 8 mins,41 mins
2016-10-20,17:30,Thursday,1 hour 4 mins,39 mins
2016-10-20,17:35,Thursday,1 hour 6 mins,39 mins
2016-10-20,17:40,Thursday,1 hour 5 mins,39 mins
2016-10-20,17:45,Thursday,1 hour 7 mins,39 mins
2016-10-20,17:50,Thursday,1 hour 2 mins,36 mins
2016-10-20,17:55,Thursday,1 hour 3 mins,36 mins
2016-10-20,18:00,Thursday,59 mins,35 mins
2016-10-20,18:05,Thursday,58 mins,34 mins
2016-10-20,18:10,Thursday,57 mins,35 mins
2016-10-20,18:15,Thursday,56 mins,36 mins
2016-10-20,18:20,Thursday,55 mins,39 mins
2016-10-20,18:25,Thursday,55 mins,37 mins
2016-10-20,18:30,Thursday,51 mins,35 mins
2016-10-20,18:35,Thursday,50 mins,34 mins
2016-10-20,18:40,Thursday,51 mins,31 mins
2016-10-20,18:45,Thursday,48 mins,31 mins
2016-10-20,18:50,Thursday,47 mins,32 mins
2016-10-20,18:55,Thursday,47 mins,31 mins
2016-10-20,19:00,Thursday,46 mins,32 mins
2016-10-20,19:05,Thursday,45 mins,32 mins
2016-10-20,19:10,Thursday,44 mins,32 mins
2016-10-20,19:15,Thursday,43 mins,31 mins
2016-10-20,19:20,Thursday,42 mins,33 mins
2016-10-20,19:25,Thursday,42 mins,30 mins
2016-10-20,19:30,Thursday,41 mins,28 mins
2016-10-20,19:35,Thursday,39 mins,28 mins
2016-10-20,19:40,Thursday,40 mins,27 mins
